Albania;355
Alemania;49
Andorra;376
Armenia;374
Austria;43
Azerbaiyán;994
Bélgica;32
Bielorrusia;375
Bosnia y Herzegovina;387
Bulgaria;359
Chipre;357
Ciudad del Vaticano;379
Croacia;385
Dinamarca;45
Eslovaquia;421
Eslovenia;386
España;34
Estonia;372
Finlandia;358
Francia;33
Georgia;995
Grecia;30
Hungría;36
Irlanda;353
Islandia;354
Italia;39
Kazajistán;7
Letonia;371
Liechtenstein;423
Lituania;370
Luxemburgo;352
Macedonia del Norte;389
Malta;356
Moldavia;373
Mónaco;377
Montenegro;382
Noruega;47
Países Bajos;31
Polonia;48
Portugal;351
Reino Unido;44
República Checa;420
Rumanía;40
Rusia;7
San Marino;378
Serbia;381
Suecia;46
Suiza;41
Turquía;90
Ucrania;380
